POSTNR,HEITI_NF,HEITI_TGF
101,Brávallagata 40*,Brávallagötu 40*
101,Brávallagata 42,Brávallagötu 42
101,Brávallagata 44,Brávallagötu 44
101,Brávallagata 46,Brávallagötu 46
101,Brávallagata 48,Brávallagötu 48
101,Brávallagata 50,Brávallagötu 50
101,Brávallagata 6,Brávallagötu 6
101,Brávallagata 8,Brávallagötu 8
101,Bræðraborgarstígur 1,Bræðraborgarstíg 1
101,Bræðraborgarstígur 10,Bræðraborgarstíg 10
101,Bræðraborgarstígur 12,Bræðraborgarstíg 12
101,Bræðraborgarstígur 13,Bræðraborgarstíg 13
101,Bræðraborgarstígur 14,Bræðraborgarstíg 14
101,Bræðraborgarstígur 15,Bræðraborgarstíg 15
101,Bræðraborgarstígur 16,Bræðraborgarstíg 16
101,Bræðraborgarstígur 18,Bræðraborgarstíg 18
101,Bræðraborgarstígur 19,Bræðraborgarstíg 19
101,Bræðraborgarstígur 2,Bræðraborgarstíg 2
101,Bræðraborgarstígur 20,Bræðraborgarstíg 20
101,Bræðraborgarstígur 21,Bræðraborgarstíg 21
101,Bræðraborgarstígur 21B,Bræðraborgarstíg 21B
101,Bræðraborgarstígur 21C,Bræðraborgarstíg 21C
101,Bræðraborgarstígur 22,Bræðraborgarstíg 22
101,Bræðraborgarstígur 23,Bræðraborgarstíg 23
101,Bræðraborgarstígur 23A,Bræðraborgarstíg 23A
101,Bræðraborgarstígur 24,Bræðraborgarstíg 24
101,Bræðraborgarstígur 24A,Bræðraborgarstíg 24A
101,Bræðraborgarstígur 26,Bræðraborgarstíg 26
101,Bræðraborgarstígur 29,Bræðraborgarstíg 29
101,Bræðraborgarstígur 3,Bræðraborgarstíg 3
101,Bræðraborgarstígur 30,Bræðraborgarstíg 30
101,Bræðraborgarstígur 31,Bræðraborgarstíg 31
101,Bræðraborgarstígur 32,Bræðraborgarstíg 32
101,Bræðraborgarstígur 34,Bræðraborgarstíg 34
101,Bræðraborgarstígur 34B,Bræðraborgarstíg 34B
101,Bræðraborgarstígur 35,Bræðraborgarstíg 35
101,Bræðraborgarstígur 36,Bræðraborgarstíg 36
101,Bræðraborgarstígur 37,Bræðraborgarstíg 37
101,Bræðraborgarstígur 38,Bræðraborgarstíg 38
101,Bræðraborgarstígur 39,Bræðraborgarstíg 39
101,Bræðraborgarstígur 4,Bræðraborgarstíg 4
101,Bræðraborgarstígur 41,Bræðraborgarstíg 41
101,Bræðraborgarstígur 43,Bræðraborgarstíg 43
101,Bræðraborgarstígur 47,Bræðraborgarstíg 47
101,Bræðraborgarstígur 49,Bræðraborgarstíg 49
101,Bræðraborgarstígur 4A,Bræðraborgarstíg 4A
101,Bræðraborgarstígur 5,Bræðraborgarstíg 5
101,Bræðraborgarstígur 51,Bræðraborgarstíg 51
101,Bræðraborgarstígur 52,Bræðraborgarstíg 52
101,Bræðraborgarstígur 53,Bræðraborgarstíg 53
101,Bræðraborgarstígur 55,Bræðraborgarstíg 55
101,Bræðraborgarstígur 7,Bræðraborgarstíg 7
101,Bræðraborgarstígur 8,Bræðraborgarstíg 8
101,Bræðraborgarstígur 9,Bræðraborgarstíg 9
101,Bárugata 10,Bárugötu 10
101,Bárugata 11,Bárugötu 11
101,Bárugata 12,Bárugötu 12
101,Bárugata 13,Bárugötu 13
101,Bárugata 14,Bárugötu 14
101,Bárugata 15,Bárugötu 15
101,Bárugata 16,Bárugötu 16
101,Bárugata 17,Bárugötu 17
101,Bárugata 18,Bárugötu 18
101,Bárugata 19,Bárugötu 19
101,Bárugata 2,Bárugötu 2
101,Bárugata 20,Bárugötu 20
101,Bárugata 21,Bárugötu 21
101,Bárugata 22,Bárugötu 22
101,Bárugata 23,Bárugötu 23
101,Bárugata 29,Bárugötu 29
101,Bárugata 3,Bárugötu 3
101,Bárugata 30,Bárugötu 30
101,Bárugata 30A,Bárugötu 30A
101,Bárugata 31,Bárugötu 31
101,Bárugata 32,Bárugötu 32
101,Bárugata 33,Bárugötu 33
101,Bárugata 34,Bárugötu 34
101,Bárugata 35,Bárugötu 35
101,Bárugata 36,Bárugötu 36
101,Bárugata 37,Bárugötu 37
101,Bárugata 38,Bárugötu 38
101,Bárugata 4,Bárugötu 4
101,Bárugata 40,Bárugötu 40
101,Bárugata 5,Bárugötu 5
101,Bárugata 6,Bárugötu 6
101,Bárugata 7,Bárugötu 7
101,Bárugata 8,Bárugötu 8
101,Bárugata 9,Bárugötu 9
101,Bókhlöðustígur 10,Bókhlöðustíg 10
101,Bókhlöðustígur 2,Bókhlöðustíg 2
101,Bókhlöðustígur 2A,Bókhlöðustíg 2A
101,Bókhlöðustígur 4,Bókhlöðustíg 4
101,Bókhlöðustígur 6,Bókhlöðustíg 6
101,Bókhlöðustígur 6A,Bókhlöðustíg 6A
101,Bókhlöðustígur 6B,Bókhlöðustíg 6B
101,Bókhlöðustígur 6C,Bókhlöðustíg 6C
101,Bókhlöðustígur 7,Bókhlöðustíg 7
101,Bókhlöðustígur 8,Bókhlöðustíg 8
101,Drafnarstígur 2,Drafnarstíg 2
101,Drafnarstígur 2A,Drafnarstíg 2A
101,Drafnarstígur 3,Drafnarstíg 3
101,Drafnarstígur 4,Drafnarstíg 4
101,Drafnarstígur 5,Drafnarstíg 5
101,Drafnarstígur 5A,Drafnarstíg 5A
101,Drafnarstígur 7,Drafnarstíg 7
101,Drafnarstígur 9,Drafnarstíg 9
101,Egilsgata 10,Egilsgötu 10
101,Egilsgata 12,Egilsgötu 12
101,Egilsgata 14,Egilsgötu 14
101,Egilsgata 16,Egilsgötu 16
101,Egilsgata 18,Egilsgötu 18
101,Egilsgata 20,Egilsgötu 20
101,Egilsgata 22,Egilsgötu 22
101,Egilsgata 24,Egilsgötu 24
101,Egilsgata 26,Egilsgötu 26
101,Egilsgata 28,Egilsgötu 28
101,Egilsgata 3,Egilsgötu 3
101,Egilsgata 30,Egilsgötu 30
101,Egilsgata 32,Egilsgötu 32
101,Egilsgata 5,Egilsgötu 5
101,Eiríksgata 11,Eiríksgötu 11
101,Eiríksgata 13,Eiríksgötu 13
101,Eiríksgata 15,Eiríksgötu 15
101,Eiríksgata 17,Eiríksgötu 17
101,Eiríksgata 19,Eiríksgötu 19
101,Eiríksgata 2,Eiríksgötu 2
101,Eiríksgata 21,Eiríksgötu 21
101,Eiríksgata 23,Eiríksgötu 23
101,Eiríksgata 25,Eiríksgötu 25
101,Eiríksgata 27,Eiríksgötu 27
101,Eiríksgata 29,Eiríksgötu 29
101,Eiríksgata 2A,Eiríksgötu 2A
101,Eiríksgata 31,Eiríksgötu 31
101,Eiríksgata 33,Eiríksgötu 33
101,Eiríksgata 35,Eiríksgötu 35
101,Eiríksgata 36,Eiríksgötu 36
101,Eiríksgata 37,Eiríksgötu 37
101,Eiríksgata 4,Eiríksgötu 4
101,Eiríksgata 5,Eiríksgötu 5
