UTGDAG,SVFN,POSTNR,KAUPVERD,EINFLM,FERMETRAVERD,TEGUND
2006-05,1400,221,25300000,"111,2",227518,Fjölbýli
2006-05,0,105,12800000,"41,9",305489,Fjölbýli
2006-05,1300,210,37800000,"238,3",158624,Einbýli
2006-05,0,110,13800000,"80,7",171004,Fjölbýli
2006-05,0,109,16500000,"94,3",174973,Fjölbýli
2006-05,8717,815,23175000,"190,0",121974,Einbýli
2006-05,1000,200,30000000,"139,8",214592,Fjölbýli
2006-05,0,107,18500000,"80,3",230386,Fjölbýli
2006-05,8200,800,14900000,"79,0",188608,Fjölbýli
2006-05,1400,221,54800000,"220,4",248639,Einbýli
2006-05,1400,221,26350000,"139,1",189432,Fjölbýli
2006-05,1000,200,14250000,"59,6",239094,Fjölbýli
2006-05,1400,221,50000000,"179,1",279174,Einbýli
2006-05,1000,200,52000000,"296,9",175143,Fjölbýli
2006-05,0,108,25400000,"117,0",217094,Fjölbýli
2006-05,7300,755,7900000,"96,5",81865,Einbýli
2006-05,1000,200,18800000,"80,1",234707,Fjölbýli
2006-05,1400,220,18800000,"92,1",204126,Fjölbýli
2006-05,3716,340,18500000,"160,8",115050,Einbýli
2006-05,0,104,13000000,"64,5",201550,Fjölbýli
2006-05,2510,250,18000000,"171,2",105140,Einbýli
2006-05,0,104,12300000,"47,2",260593,Fjölbýli
2006-05,6000,603,16500000,"94,1",175345,Fjölbýli
2006-05,6000,600,16700000,"109,6",152372,Fjölbýli
2006-05,8200,800,33300000,"216,5",153811,Einbýli
2006-05,0,112,20300000,"101,8",199411,Fjölbýli
2006-05,0,109,35000000,"177,1",197628,Sérbýli
2006-05,0,105,13300000,"62,0",214516,Fjölbýli
2006-05,0,107,24000000,"94,1",255048,Fjölbýli
2006-05,8200,800,29000000,"169,1",171496,Einbýli
2006-05,8716,810,14600000,"83,2",175481,Sérbýli
2006-05,2000,260,26700000,"155,0",172258,Einbýli
2006-05,0,113,26800000,"119,1",225021,Fjölbýli
2006-05,4200,400,10500000,"123,5",85020,Fjölbýli
2006-05,0,101,29000000,"93,8",309168,Fjölbýli
2006-05,0,101,12700000,"44,3",286682,Fjölbýli
2006-05,0,107,20000000,"76,5",261438,Fjölbýli
2006-05,2000,230,10800000,"74,7",144578,Fjölbýli
2006-05,1300,225,13700000,"59,4",230640,Fjölbýli
2006-05,1300,210,14200000,"56,2",252669,Fjölbýli
2006-05,0,105,36700000,"148,5",247138,Fjölbýli
2006-05,0,111,13200000,"58,6",225256,Fjölbýli
2006-05,0,112,18400000,"107,8",170686,Fjölbýli
2006-05,0,101,13300000,"68,5",194161,Fjölbýli
2006-05,0,109,20100000,"96,5",208290,Fjölbýli
2006-05,1000,200,38000000,"188,1",202020,Einbýli
2006-05,0,105,18000000,"80,0",225000,Fjölbýli
2006-05,2510,250,22800000,"210,1",108520,Einbýli
2006-05,2000,230,9900000,"65,2",151840,Fjölbýli
2006-05,1400,220,18400000,"103,9",177093,Fjölbýli
2006-05,1000,201,19250000,"74,5",258389,Fjölbýli
2006-05,1000,203,32500000,"141,8",229196,Fjölbýli
2006-05,5716,550,7200000,"79,2",90909,Fjölbýli
2006-05,8200,820,22000000,"191,5",114883,Einbýli
2006-05,1000,201,74000000,"260,1",284506,Einbýli
2006-05,3000,300,19000000,"206,7",91921,Fjölbýli
2006-05,0,111,10500000,"39,5",265823,Fjölbýli
2006-05,0,101,25900000,"107,7",240483,Fjölbýli
2006-05,0,105,13000000,"65,4",198777,Fjölbýli
2006-05,2000,260,17500000,"100,5",174129,Fjölbýli
2006-05,0,110,36900000,"126,3",292162,Fjölbýli
2006-05,6000,603,9000000,"60,7",148270,Fjölbýli
2006-05,6000,603,15000000,"69,1",217077,Fjölbýli
2006-05,8200,800,24000000,"122,6",195759,Einbýli
2006-05,1300,210,38500000,"166,3",231509,Sérbýli
2006-05,0,104,26500000,"132,3",200302,Fjölbýli
2006-05,1604,270,19200000,"91,0",210989,Fjölbýli
2006-05,0,105,14000000,"54,5",256881,Fjölbýli
2006-05,6000,603,10200000,"69,4",146974,Fjölbýli
