FAERSLUNUMER,FASTNUM,HEIMILISFANG,POSTNR,UTGDAG,KAUPVERD,FASTEIGNAMAT,FASTEIGNAMAT_GILDANDI,BYGGAR,EINFLM,FJHERB
606746,2347852,Skipalón 7,220,2016-05-09,48200,17350,87450,2016,"130,7",4
606747,2121672,Traðarstígur 8,415,2016-05-13,12750,8560,29200,1960,"105,1",3
606748,2023788,Skeljagrandi 3,107,2016-05-04,31000,28100,67350,1981,"107,6",2
606749,2259976,Ólafsgeisli 85,113,2016-05-11,71500,59550,139600,2003,"202,8",3
606750,2052461,Gyðufell 6,111,2016-05-11,22700,18000,47050,1973,"84,1",2
606751,2065832,Vallargerði 38,200,2016-05-12,46000,38400,96900,1960,"158,8",5
606752,2021125,Álfheimar 50,104,2016-05-12,36200,30900,70000,1961,"109,5",3
606753,2267491,Kristnibraut 73,113,2016-05-03,46000,39450,86500,2004,"150,7",3
606754,2279203,Kirkjuvellir 5,221,2016-05-03,33000,29700,74800,2006,"124,7",3
606755,2033917,Skálagerði 11,108,2016-05-04,30000,22300,53050,1961,"67,7",2
606756,2288657,Klappakór 6,203,2016-04-26,35500,32200,73300,2006,"103,0",2
606757,2016318,Rauðalækur 53,105,2016-05-11,31000,21900,57450,1961,"64,3",2
606758,2101361,Stekkjarholt 1,300,2016-05-12,16500,14300,41200,1957,"104,4",1
606759,2115106,Grundargata 60,350,2016-05-10,27000,32700,56900,1979,"297,0",6
606760,2228348,Grundargata 65,350,2016-05-06,17773,14850,25500,1996,"88,0",2
606761,2103819,Sandholt 2,355,2016-05-12,10000,9750,22900,1943,"96,0",2
606762,2154929,Hjarðarslóð 4C,620,2016-05-12,20000,17050,38900,1974,"117,2",3
606763,2282261,Mýrartún 20,600,2016-04-26,27200,23950,53750,2007,"97,4",2
606764,2299279,Kjarnagata 33,600,2016-05-18,33500,2170,59650,    ,"100,6",2
606765,2147881,Hrísalundur 20,600,2016-05-13,18500,15200,38700,1976,"76,3",2
606766,2152804,Háagerði 4,640,2016-05-17,38000,26300,65150,1975,"186,6",3
606767,2185242,Álftarimi 3,800,2016-05-11,19650,16550,45450,1995,"87,7",2
606768,2283676,Blikatjörn 3,260,2016-05-12,43500,37750,104350,2007,"213,7",4
606769,2089400,Hringbraut 104,230,2016-05-12,25750,19050,57850,1954,"166,7",3
606770,2089262,Hringbraut 62,230,2016-05-18,22500,18200,55000,1959,"138,9",2
606771,2094330,Nesvegur 19,233,2016-05-17,30000,21650,68900,2008,"220,7",3
606772,2307334,Þrastartjörn 4,260,2016-04-19,35500,27700,80100,2008,"154,6",3
